RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 230 1.82215842E-09   1.72559666E-07   4.18696544E-08   4.31884644E-08   5.16023757E-09   3.81431831E-10   1.45922542E-07   8.91290474E+00   9.26348269E-01   1.33274123E-01   1.19019061E-01   9.29714489E+00   6.73046649E-01   -3.48850518E-01   1.14586048E-01   1.68205965E+00   1.43122562E+06   6.97938633E+00   1.68062758E+00   1.66092175E+06   7.48116684E+00 
0 240 1.77914306E-09   1.67072017E-07   3.91788362E-08   3.89091923E-08   5.15873699E-09   3.71295661E-10   1.35767905E-07   8.82226276E+00   9.35490608E-01   1.37355819E-01   1.20222509E-01   9.29094315E+00   6.72176778E-01   -3.46800745E-01   1.14669211E-01   1.68100941E+00   1.40057625E+06   6.91243172E+00   1.68075490E+00   1.65785188E+06   7.47446060E+00 
0 250 1.76750969E-09   1.62186055E-07   3.69514197E-08   3.55543932E-08   5.26953148E-09   3.61464608E-10   1.26290601E-07   8.72882175E+00   9.43675995E-01   1.43303439E-01   1.21490248E-01   9.28554630E+00   6.71774149E-01   -3.44727993E-01   1.14741437E-01   1.67964661E+00   1.36950775E+06   6.84456110E+00   1.68085718E+00   1.65533412E+06   7.46896076E+00 
0 260 1.71405767E-09   1.57276446E-07   3.52885188E-08   3.29010597E-08   5.16903897E-09   3.52054219E-10   1.17354610E-07   8.63370991E+00   9.50845838E-01   1.50474533E-01   1.22810036E-01   9.28028202E+00   6.71667457E-01   -3.42617065E-01   1.14811651E-01   1.67798257E+00   1.33842200E+06   6.77665281E+00   1.68095136E+00   1.65297350E+06   7.46380377E+00 
0 270 1.60859304E-09   1.52299648E-07   3.39731336E-08   3.06932044E-08   4.81950790E-09   3.43255563E-10   1.08889914E-07   8.53842258E+00   9.56792831E-01   1.58437461E-01   1.24163136E-01   9.27459717E+00   6.71638787E-01   -3.40554833E-01   1.14887282E-01   1.67605186E+00   1.30783800E+06   6.70984077E+00   1.68104911E+00   1.65047350E+06   7.45834255E+00 
0 280 1.60761726E-09   1.46411040E-07   3.27118386E-08   2.88820967E-08   4.76607731E-09   3.35357214E-10   1.00940255E-07   8.44565964E+00   9.61099088E-01   1.67645648E-01   1.25511423E-01   9.26867962E+00   6.71587825E-01   -3.38626623E-01   1.14966445E-01   1.66302061E+00   1.27598450E+06   6.64768267E+00   1.68114865E+00   1.64787538E+06   7.45266676E+00 
0 290 1.61827463E-09   1.40969007E-07   3.14584767E-08   2.76421019E-08   4.70036543E-09   3.28571587E-10   9.35682323E-08   8.35314941E+00   9.62538481E-01   1.79277837E-01   1.26889601E-01   9.26304626E+00   6.71589613E-01   -3.36847037E-01   1.15042746E-01   1.64700556E+00   1.24530325E+06   6.59020424E+00   1.68124163E+00   1.64539438E+06   7.44724703E+00 
0 300 1.55383817E-09   1.36637595E-07   3.03058805E-08   2.64573021E-08   4.38034586E-09   3.22838145E-10   8.68459935E-08   8.26043892E+00   9.62478518E-01   1.92056477E-01   1.28303915E-01   9.25802040E+00   6.71714246E-01   -3.35247904E-01   1.15111940E-01   1.63188267E+00   1.21628112E+06   6.53583431E+00   1.68132293E+00   1.64318762E+06   7.44242573E+00 
0 310 1.55649982E-09   1.32349328E-07   2.93794766E-08   2.51845780E-08   4.29823466E-09   3.18016280E-10   8.06815379E-08   8.17142582E+00   9.60414827E-01   2.05258310E-01   1.29697874E-01   9.25366879E+00   6.71953917E-01   -3.33906740E-01   1.15172900E-01   1.61780930E+00   1.18922888E+06   6.48515463E+00   1.68139148E+00   1.64129000E+06   7.43828058E+00 
0 320 1.56746527E-09   1.27800519E-07   2.85876318E-08   2.39364137E-08   4.27856062E-09   3.14088616E-10   7.49432800E-08   8.08539677E+00   9.56976771E-01   2.17363104E-01   1.31079778E-01   9.24977970E+00   6.72250688E-01   -3.32843304E-01   1.15227990E-01   1.60457802E+00   1.16375612E+06   6.43743420E+00   1.68145084E+00   1.63962175E+06   7.43463659E+00 
