RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 230 8.88843166E-10   7.85641987E-08   1.29265123E-08   7.90802268E-09   2.20485874E-09   2.19988527E-10   9.10587019E-08   9.03762913E+00   -4.85412776E-01   -3.07972491E-01   1.19182922E-01   9.03081608E+00   -4.79283303E-01   -2.65761793E-01   1.19207911E-01   1.68221724E+00   1.61533888E+06   7.38158941E+00   1.68339276E+00   1.54649838E+06   7.23120451E+00 
0 240 9.05067798E-10   7.37116181E-08   1.24831701E-08   7.57489893E-09   2.13237539E-09   2.17191737E-10   8.31006730E-08   9.04913902E+00   -4.81018364E-01   -3.14646125E-01   1.19068384E-01   9.04482651E+00   -4.78777766E-01   -2.73297340E-01   1.19094625E-01   1.68224716E+00   1.61425450E+06   7.37922049E+00   1.68339634E+00   1.54591788E+06   7.22993660E+00 
0 250 9.50739598E-10   6.92077293E-08   1.20135395E-08   7.27028437E-09   2.21592189E-09   2.14712553E-10   7.58445111E-08   9.05837822E+00   -4.77507502E-01   -3.18825722E-01   1.18970051E-01   9.05702496E+00   -4.78969097E-01   -2.78873324E-01   1.18992500E-01   1.68228972E+00   1.61269300E+06   7.37580919E+00   1.68340063E+00   1.54521950E+06   7.22841072E+00 
0 260 9.95453275E-10   6.50307825E-08   1.15594405E-08   6.96466884E-09   2.34110287E-09   2.12468321E-10   6.91760746E-08   9.06585121E+00   -4.75053996E-01   -3.21241677E-01   1.18883453E-01   9.06760216E+00   -4.79364485E-01   -2.82577455E-01   1.18900076E-01   1.68233383E+00   1.61104062E+06   7.37219954E+00   1.68340397E+00   1.54464300E+06   7.22715139E+00 
0 270 1.00318842E-09   6.11596889E-08   1.11659988E-08   6.66876954E-09   2.35393394E-09   2.10204146E-10   6.29643395E-08   9.07195663E+00   -4.73508447E-01   -3.22747529E-01   1.18805289E-01   9.07656860E+00   -4.79838043E-01   -2.84912437E-01   1.18817843E-01   1.68237162E+00   1.60959962E+06   7.36905146E+00   1.68340576E+00   1.54434062E+06   7.22649050E+00 
0 280 9.62974922E-10   5.75978873E-08   1.08437712E-08   6.42631326E-09   2.19902363E-09   2.07836276E-10   5.71368695E-08   9.07683754E+00   -4.72502023E-01   -3.23710054E-01   1.18735597E-01   9.08383083E+00   -4.80675042E-01   -2.86212564E-01   1.18747242E-01   1.68240106E+00   1.60845762E+06   7.36655664E+00   1.68340600E+00   1.54430112E+06   7.22640419E+00 
0 290 9.01721309E-10   5.43224807E-08   1.05679581E-08   6.20854657E-09   1.96657401E-09   2.05350875E-10   5.17265804E-08   9.08052635E+00   -4.71764654E-01   -3.23937923E-01   1.18676536E-01   9.08920860E+00   -4.81944889E-01   -2.86434293E-01   1.18691079E-01   1.68242514E+00   1.60751300E+06   7.36449337E+00   1.68340576E+00   1.54434450E+06   7.22649908E+00 
0 300 8.61447580E-10   5.13073566E-08   1.02902709E-08   5.99617422E-09   1.82116788E-09   2.02857675E-10   4.67440344E-08   9.08301640E+00   -4.71185505E-01   -3.23137492E-01   1.18630983E-01   9.09250546E+00   -4.83538181E-01   -2.85510123E-01   1.18653648E-01   1.68244886E+00   1.60657312E+06   7.36244011E+00   1.68340635E+00   1.54423825E+06   7.22626734E+00 
0 310 8.59598837E-10   4.85308043E-08   9.98285632E-09   5.76508707E-09   1.83918647E-09   2.00313877E-10   4.21724557E-08   9.08434486E+00   -4.70757484E-01   -3.21474254E-01   1.18600950E-01   9.09385586E+00   -4.85269338E-01   -2.83707052E-01   1.18635438E-01   1.68247521E+00   1.60551612E+06   7.36013079E+00   1.68340850E+00   1.54385688E+06   7.22543383E+00 
0 320 8.71043737E-10   4.59637981E-08   9.65274438E-09   5.54023005E-09   1.90731986E-09   1.97759281E-10   3.79945142E-08   9.08457470E+00   -4.70502973E-01   -3.19034964E-01   1.18586972E-01   9.09371948E+00   -4.86906499E-01   -2.81440794E-01   1.18632652E-01   1.68250418E+00   1.60433288E+06   7.35754633E+00   1.68341172E+00   1.54325988E+06   7.22412968E+00 
