RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 230 1.60902847E-09   1.48353422E-07   6.07380315E-08   4.06249363E-08   4.29868852E-09   3.98440086E-10   1.40156445E-07   8.26548862E+00   3.05338264E+00   -2.16322333E-01   1.21303037E-01   8.72755241E+00   2.93855929E+00   -2.65988827E-01   1.16184480E-01   1.68345785E+00   1.52541900E+06   7.18515539E+00   1.68007255E+00   1.67355612E+06   7.50876713E+00 
0 240 1.52732160E-09   1.40564509E-07   5.74516790E-08   3.62648933E-08   4.22254187E-09   3.88880983E-10   1.30207908E-07   8.29452896E+00   3.02956629E+00   -2.14132100E-01   1.21063009E-01   8.71771431E+00   2.93606043E+00   -2.64947534E-01   1.16318837E-01   1.68345785E+00   1.52608238E+06   7.18660498E+00   1.68026590E+00   1.66928175E+06   7.49942970E+00 
0 250 1.52065383E-09   1.33225100E-07   5.43847314E-08   3.29321317E-08   4.42003678E-09   3.79348386E-10   1.20897440E-07   8.32694340E+00   3.00620317E+00   -2.17441142E-01   1.20778009E-01   8.70910549E+00   2.93377304E+00   -2.63601661E-01   1.16437249E-01   1.68345749E+00   1.52771300E+06   7.19016695E+00   1.68042374E+00   1.66569425E+06   7.49159288E+00 
0 260 1.47240131E-09   1.26390361E-07   5.14957357E-08   3.03697938E-08   4.32584724E-09   3.70017877E-10   1.12104665E-07   8.36103821E+00   2.98457551E+00   -2.24793360E-01   1.20464191E-01   8.70217514E+00   2.93155003E+00   -2.61581331E-01   1.16535448E-01   1.68345535E+00   1.53007025E+06   7.19531631E+00   1.68054545E+00   1.66286488E+06   7.48541164E+00 
0 270 1.38524792E-09   1.20010313E-07   4.88050560E-08   2.82458625E-08   4.00483469E-09   3.61242536E-10   1.03963622E-07   8.39490128E+00   2.96543360E+00   -2.34846205E-01   1.20143257E-01   8.69646931E+00   2.92918396E+00   -2.59295791E-01   1.16620168E-01   1.68345094E+00   1.53273612E+06   7.20114040E+00   1.68064523E+00   1.66050138E+06   7.48024893E+00 
0 280 1.31273625E-09   1.14071504E-07   4.63548098E-08   2.62809063E-08   3.75504783E-09   3.53374163E-10   9.65443192E-08   8.42689896E+00   2.94893837E+00   -2.46244028E-01   1.19836107E-01   8.69133949E+00   2.92666101E+00   -2.57394403E-01   1.16699390E-01   1.68344450E+00   1.53531538E+06   7.20677471E+00   1.68073726E+00   1.65828262E+06   7.47540188E+00 
0 290 1.25486954E-09   1.08594563E-07   4.41084040E-08   2.43663933E-08   3.58825747E-09   3.46602025E-10   8.97852530E-08   8.45579338E+00   2.93494534E+00   -2.57381439E-01   1.19560055E-01   8.68640327E+00   2.92413521E+00   -2.56125450E-01   1.16776913E-01   1.68343735E+00   1.53751825E+06   7.21158695E+00   1.68082774E+00   1.65606612E+06   7.47055960E+00 
0 300 1.17536958E-09   1.03558392E-07   4.19458281E-08   2.25957546E-08   3.32829231E-09   3.40884265E-10   8.35188345E-08   8.48063087E+00   2.92343068E+00   -2.66868055E-01   1.19328044E-01   8.68149853E+00   2.92179203E+00   -2.55332053E-01   1.16853550E-01   1.68343115E+00   1.53915475E+06   7.21516180E+00   1.68091691E+00   1.65384088E+06   7.46569824E+00 
0 310 1.09227716E-09   9.89500464E-08   3.97935764E-08   2.10292068E-08   3.01971448E-09   3.36130734E-10   7.75857387E-08   8.50082684E+00   2.91443205E+00   -2.74052292E-01   1.19147614E-01   8.67658520E+00   2.91975093E+00   -2.54652262E-01   1.16928980E-01   1.68342686E+00   1.54015938E+06   7.21735668E+00   1.68100345E+00   1.65164512E+06   7.46090174E+00 
0 320 1.04828901E-09   9.47476337E-08   3.76725673E-08   1.96603800E-08   2.82610491E-09   3.32236350E-10   7.19095681E-08   8.51642227E+00   2.90798664E+00   -2.78950810E-01   1.19017713E-01   8.67179203E+00   2.91804695E+00   -2.53865987E-01   1.17001347E-01   1.68342471E+00   1.54064362E+06   7.21841431E+00   1.68108439E+00   1.64955662E+06   7.45633936E+00 
0 330 1.04044262E-09   9.08841287E-08   3.56661474E-08   1.84276860E-08   2.73556999E-09   3.29154481E-10   6.65775204E-08   8.52795696E+00   2.90397835E+00   -2.81825781E-01   1.18931107E-01   8.66730404E+00   2.91662264E+00   -2.52966434E-01   1.17068611E-01   1.68342388E+00   1.54082850E+06   7.21881819E+00   1.68115699E+00   1.64765338E+06   7.45218182E+00 
0 340 1.03997477E-09   8.72681269E-08   3.38578090E-08   1.72817511E-08   2.64983835E-09   3.26798172E-10   6.16924609E-08   8.53602314E+00   2.90202689E+00   -2.82859355E-01   1.18880861E-01   8.66324520E+00   2.91537380E+00   -2.52019823E-01   1.17129728E-01   1.68342364E+00   1.54087925E+06   7.21892929E+00   1.68122017E+00   1.64597288E+06   7.44851065E+00 
0 350 1.04417663E-09   8.38251282E-08   3.22830864E-08   1.62170775E-08   2.58657584E-09   3.25059257E-10   5.72142795E-08   8.54102802E+00   2.90153933E+00   -2.82044202E-01   1.18863359E-01   8.65963364E+00   2.91422915E+00   -2.51044422E-01   1.17184937E-01   1.68342388E+00   1.54082575E+06   7.21881247E+00   1.68127465E+00   1.64450412E+06   7.44530201E+00 
0 360 1.05867959E-09   8.05359974E-08   3.09217540E-08   1.53117270E-08   2.57449240E-09   3.23804733E-10   5.31201607E-08   8.54321194E+00   2.90181494E+00   -2.79324979E-01   1.18877850E-01   8.65637779E+00   2.91315317E+00   -2.50010550E-01   1.17235720E-01   1.68342495E+00   1.54059388E+06   7.21830559E+00   1.68132257E+00   1.64319762E+06   7.44244814E+00 
0 370 1.07051767E-09   7.74271030E-08   2.97346716E-08   1.45940113E-08   2.54613752E-09   3.22920246E-10   4.94317440E-08   8.54277992E+00   2.90217710E+00   -2.74907142E-01   1.18924208E-01   8.65336800E+00   2.91216564E+00   -2.48947203E-01   1.17283456E-01   1.68342721E+00   1.54007912E+06   7.21718121E+00   1.68136585E+00   1.64200250E+06   7.43983698E+00 
0 380 1.06606601E-09   7.45406936E-08   2.86599402E-08   1.39590792E-08   2.44961629E-09   3.22311650E-10   4.61614817E-08   8.53999043E+00   2.90217209E+00   -2.69353032E-01   1.19000986E-01   8.65054417E+00   2.91133451E+00   -2.47996137E-01   1.17328607E-01   1.68343079E+00   1.53922462E+06   7.21531439E+00   1.68140554E+00   1.64089762E+06   7.43742371E+00 
0 390 1.04374465E-09   7.19034290E-08   2.76336145E-08   1.32906957E-08   2.31365838E-09   3.21912386E-10   4.32728200E-08   8.53520489E+00   2.90163636E+00   -2.63440937E-01   1.19104236E-01   8.64788342E+00   2.91073012E+00   -2.47327089E-01   1.17370985E-01   1.68343544E+00   1.53805038E+06   7.21274948E+00   1.68144155E+00   1.63988412E+06   7.43520927E+00 
0 400 1.00804198E-09   6.95002456E-08   2.66234732E-08   1.25804771E-08   2.19517005E-09   3.21666055E-10   4.06858192E-08   8.52889824E+00   2.90061331E+00   -2.57893503E-01   1.19227737E-01   8.64536762E+00   2.91037107E+00   -2.46996358E-01   1.17410541E-01   1.68344033E+00   1.53664375E+06   7.20967674E+00   1.68147433E+00   1.63895762E+06   7.43318558E+00 
0 410 9.63919500E-10   6.72967744E-08   2.56312784E-08   1.18957049E-08   2.11594142E-09   3.21533550E-10   3.83854157E-08   8.52163315E+00   2.89923787E+00   -2.53153682E-01   1.19363748E-01   8.64297009E+00   2.91020679E+00   -2.46885568E-01   1.17447674E-01   1.68344498E+00   1.53513925E+06   7.20638990E+00   1.68150437E+00   1.63809875E+06   7.43130922E+00 
0 420 9.16038023E-10   6.52449756E-08   2.46787959E-08   1.12745058E-08   2.05724016E-09   3.21486865E-10   3.63607668E-08   8.51396656E+00   2.89763427E+00   -2.49340042E-01   1.19504683E-01   8.64067745E+00   2.91014361E+00   -2.46784389E-01   1.17483020E-01   1.68344879E+00   1.53367262E+06   7.20318604E+00   1.68153262E+00   1.63728288E+06   7.42952681E+00 
0 430 8.68008831E-10   6.32899884E-08   2.38010109E-08   1.07180167E-08   1.98404115E-09   3.21486338E-10   3.45520377E-08   8.50633907E+00   2.89587235E+00   -2.46395215E-01   1.19644769E-01   8.63850212E+00   2.91009235E+00   -2.46529505E-01   1.17516972E-01   1.68345165E+00   1.53233500E+06   7.20026398E+00   1.68155968E+00   1.63649950E+06   7.42781544E+00 
0 440 8.27769908E-10   6.13809874E-08   2.30147261E-08   1.02050111E-08   1.90187399E-09   3.21506682E-10   3.28900320E-08   8.49900246E+00   2.89399576E+00   -2.44260997E-01   1.19780757E-01   8.63649654E+00   2.91000795E+00   -2.46094599E-01   1.17549270E-01   1.68345380E+00   1.53115138E+06   7.19767809E+00   1.68158484E+00   1.63576462E+06   7.42621040E+00 
0 450 8.02367617E-10   5.94970189E-08   2.23080487E-08   9.72235714E-09   1.84237492E-09   3.21541155E-10   3.13516004E-08   8.49203587E+00   2.89205575E+00   -2.42922306E-01   1.19911522E-01   8.63473415E+00   2.90989709E+00   -2.45578364E-01   1.17579147E-01   1.68345535E+00   1.53008800E+06   7.19535542E+00   1.68160701E+00   1.63511450E+06   7.42478991E+00 
0 460 7.86850085E-10   5.76518921E-08   2.16538183E-08   9.27733446E-09   1.79826032E-09   3.21592114E-10   2.99779117E-08   8.48539639E+00   2.89010262E+00   -2.42379993E-01   1.20037511E-01   8.63326931E+00   2.90979505E+00   -2.45115608E-01   1.17605790E-01   1.68345642E+00   1.52907412E+06   7.19314051E+00   1.68162489E+00   1.63458412E+06   7.42363119E+00 
0 470 7.70243702E-10   5.58754998E-08   2.10234372E-08   8.88847573E-09   1.73441939E-09   3.21672744E-10   2.88496906E-08   8.47901058E+00   2.88818574E+00   -2.42574438E-01   1.20159529E-01   8.63210964E+00   2.90973568E+00   -2.44790733E-01   1.17628865E-01   1.68345726E+00   1.52803825E+06   7.19087744E+00   1.68163836E+00   1.63418775E+06   7.42276525E+00 
0 480 7.49790285E-10   5.41939471E-08   2.03927470E-08   8.55402682E-09   1.65356062E-09   3.21801141E-10   2.79958048E-08   8.47284508E+00   2.88634109E+00   -2.43358791E-01   1.20277941E-01   8.63121223E+00   2.90973210E+00   -2.44612828E-01   1.17648751E-01   1.68345773E+00   1.52693575E+06   7.18846893E+00   1.68164766E+00   1.63391050E+06   7.42215967E+00 
0 490 7.31250893E-10   5.26064206E-08   1.97551167E-08   8.23684854E-09   1.60177549E-09   3.21968563E-10   2.73680278E-08   8.46693230E+00   2.88459659E+00   -2.44529769E-01   1.20392434E-01   8.63049221E+00   2.90977693E+00   -2.44543940E-01   1.17666356E-01   1.68345785E+00   1.52575500E+06   7.18588972E+00   1.68165421E+00   1.63371488E+06   7.42173243E+00 
0 500 7.16674720E-10   5.10916607E-08   1.91195841E-08   7.91519827E-09   1.60192393E-09   3.22145616E-10   2.68981104E-08   8.46135330E+00   2.88297939E+00   -2.45874643E-01   1.20502092E-01   8.62985516E+00   2.90984988E+00   -2.44533405E-01   1.17682807E-01   1.68345749E+00   1.52451638E+06   7.18318367E+00   1.68165958E+00   1.63355325E+06   7.42137957E+00 
0 510 7.00478953E-10   4.96187589E-08   1.84989783E-08   7.58889129E-09   1.62270086E-09   3.22324778E-10   2.65040079E-08   8.45623302E+00   2.88152623E+00   -2.47217178E-01   1.20605521E-01   8.62921715E+00   2.90992641E+00   -2.44533762E-01   1.17699154E-01   1.68345666E+00   1.52326550E+06   7.18045139E+00   1.68166530E+00   1.63338300E+06   7.42100763E+00 
0 520 6.78619438E-10   4.81589062E-08   1.79089099E-08   7.27124583E-09   1.62596436E-09   3.22489174E-10   2.61084452E-08   8.45169353E+00   2.88027883E+00   -2.48429596E-01   1.20701283E-01   8.62852478E+00   2.90998459E+00   -2.44494513E-01   1.17716081E-01   1.68345547E+00   1.52205862E+06   7.17781496E+00   1.68167222E+00   1.63317562E+06   7.42055464E+00 
0 530 6.55138166E-10   4.66962788E-08   1.73573493E-08   6.97237912E-09   1.60045288E-09   3.22624816E-10   2.56514827E-08   8.44782639E+00   2.87927675E+00   -2.49434471E-01   1.20788366E-01   8.62776661E+00   2.91001010E+00   -2.44358152E-01   1.17733784E-01   1.68345380E+00   1.52094850E+06   7.17538977E+00   1.68168056E+00   1.63292350E+06   7.42000389E+00 
0 540 6.38062991E-10   4.52328699E-08   1.68491638E-08   6.69277611E-09   1.54964064E-09   3.22738364E-10   2.51184478E-08   8.44467258E+00   2.87854004E+00   -2.50199199E-01   1.20866425E-01   8.62697315E+00   2.91000152E+00   -2.44073555E-01   1.17751911E-01   1.68345213E+00   1.51997350E+06   7.17325974E+00   1.68168998E+00   1.63264150E+06   7.41938734E+00 
0 550 6.32675023E-10   4.37836789E-08   1.63803584E-08   6.43769571E-09   1.47520807E-09   3.22839477E-10   2.45475764E-08   8.44221115E+00   2.87806273E+00   -2.50726044E-01   1.20935909E-01   8.62621212E+00   2.90997171E+00   -2.43620336E-01   1.17769666E-01   1.68345046E+00   1.51915175E+06   7.17146444E+00   1.68169916E+00   1.63236275E+06   7.41877890E+00 
0 560 6.39960807E-10   4.23720863E-08   1.59435665E-08   6.20068041E-09   1.38486866E-09   3.22928156E-10   2.39955700E-08   8.44036674E+00   2.87781978E+00   -2.51036346E-01   1.20998010E-01   8.62556553E+00   2.90994716E+00   -2.43021265E-01   1.17785998E-01   1.68344903E+00   1.51848025E+06   7.16999769E+00   1.68170691E+00   1.63213000E+06   7.41827011E+00 
0 570 6.56928845E-10   4.10114431E-08   1.55286095E-08   5.96748562E-09   1.29741473E-09   3.23007621E-10   2.35080222E-08   8.43901443E+00   2.87776852E+00   -2.51160622E-01   1.21054545E-01   8.62510014E+00   2.90995741E+00   -2.42335051E-01   1.17799982E-01   1.68344772E+00   1.51793562E+06   7.16880798E+00   1.68171179E+00   1.63198112E+06   7.41794491E+00 
0 580 6.77655487E-10   3.97004953E-08   1.51289878E-08   5.73359982E-09   1.23327693E-09   3.23073956E-10   2.31069937E-08   8.43800068E+00   2.87785792E+00   -2.51119018E-01   1.21107712E-01   8.62485218E+00   2.91002607E+00   -2.41636097E-01   1.17811054E-01   1.68344653E+00   1.51748062E+06   7.16781425E+00   1.68171322E+00   1.63193838E+06   7.41785145E+00 
0 590 6.94873992E-10   3.84265597E-08   1.47418637E-08   5.49175105E-09   1.20144006E-09   3.23115784E-10   2.27766712E-08   8.43716908E+00   2.87803841E+00   -2.50922710E-01   1.21159710E-01   8.62481308E+00   2.91016102E+00   -2.40990102E-01   1.17819197E-01   1.68344533E+00   1.51707400E+06   7.16692543E+00   1.68171120E+00   1.63200075E+06   7.41798782E+00 
0 600 7.01776692E-10   3.71743241E-08   1.43625440E-08   5.25060218E-09   1.18920374E-09   3.23131910E-10   2.24816628E-08   8.43638897E+00   2.87827110E+00   -2.50580281E-01   1.21212348E-01   8.62493610E+00   2.91035438E+00   -2.40440935E-01   1.17824905E-01   1.68344426E+00   1.51668212E+06   7.16606951E+00   1.68170631E+00   1.63214662E+06   7.41830683E+00 
0 610 6.93985314E-10   3.59335957E-08   1.39895464E-08   5.02066966E-09   1.17384513E-09   3.23109345E-10   2.21782201E-08   8.43557644E+00   2.87853217E+00   -2.50106603E-01   1.21266752E-01   8.62514782E+00   2.91058564E+00   -2.40007907E-01   1.17829040E-01   1.68344307E+00   1.51628825E+06   7.16520882E+00   1.68169987E+00   1.63234062E+06   7.41873026E+00 
