RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 240 1.78668529E-08   6.57827854E-07   2.66129348E-07   2.98294339E-07   5.64971714E-08   7.63528296E-10   2.82398247E-07   9.85562897E+00   -9.08135101E-02   7.78985173E-02   1.07845247E-01   9.88343620E+00   -8.71682614E-02   7.60514587E-02   1.07555114E-01   9.82003117E+00   -2.40392890E-02   -1.80194434E-02   1.08262770E-01   1.67634118E+00   1.73992712E+06   7.65375757E+00   1.67576659E+00   1.74839438E+06   7.67225456E+00   1.67589724E+00   1.74649700E+06   7.66810989E+00 
0 250 1.56774469E-08   6.30873217E-07   2.49014732E-07   2.75239074E-07   4.97275963E-08   7.56519070E-10   2.75014486E-07   9.83043194E+00   -1.04944736E-01   8.81187916E-02   1.08114533E-01   9.86075306E+00   -1.02776863E-01   8.43789279E-02   1.07800834E-01   9.80600166E+00   -2.22035442E-02   -1.15306620E-02   1.08423755E-01   1.67710328E+00   1.72815038E+06   7.62803078E+00   1.67637455E+00   1.73942412E+06   7.65265894E+00   1.67662573E+00   1.73560612E+06   7.64431810E+00 
0 260 1.44184291E-08   6.04170452E-07   2.28607675E-07   2.50914155E-07   4.61731737E-08   7.46547657E-10   2.64055814E-07   9.79793739E+00   -1.12256713E-01   1.04762964E-01   1.08465157E-01   9.83946323E+00   -1.13848932E-01   9.90150645E-02   1.08029157E-01   9.79311180E+00   -2.12935656E-02   1.27573987E-03   1.08569063E-01   1.67795968E+00   1.71403700E+06   7.59719944E+00   1.67690372E+00   1.73129988E+06   7.63491106E+00   1.67725670E+00   1.72569462E+06   7.62266588E+00 
0 270 1.42470808E-08   5.74457999E-07   2.11792909E-07   2.23748600E-07   4.61027163E-08   7.36823602E-10   2.51819245E-07   9.76921844E+00   -1.10672079E-01   1.20711274E-01   1.08778536E-01   9.82566357E+00   -1.12907849E-01   1.13222763E-01   1.08174339E-01   9.78339672E+00   -2.19218656E-02   1.38919633E-02   1.08676903E-01   1.67866874E+00   1.70149662E+06   7.56980467E+00   1.67730641E+00   1.72489275E+06   7.62091446E+00   1.67766976E+00   1.71893000E+06   7.60788870E+00 
0 280 1.37931870E-08   5.44814270E-07   2.01496277E-07   1.97867038E-07   4.45150192E-08   7.29806882E-10   2.40368109E-07   9.75189495E+00   -1.03095263E-01   1.29811630E-01   1.08969882E-01   9.81999874E+00   -9.96903405E-02   1.21601932E-01   1.08230725E-01   9.77593613E+00   -2.35336926E-02   2.12053955E-02   1.08758397E-01   1.67911649E+00   1.69309325E+06   7.55144691E+00   1.67761493E+00   1.71984312E+06   7.60988331E+00   1.67788613E+00   1.71529100E+06   7.59993887E+00 
0 290 1.28853870E-08   5.17495380E-07   1.91223137E-07   1.79274551E-07   4.11491570E-08   7.25743077E-10   2.31138358E-07   9.74690437E+00   -9.46215689E-02   1.29823491E-01   1.09025881E-01   9.81831074E+00   -8.09722990E-02   1.22809336E-01   1.08244918E-01   9.76866055E+00   -2.46341638E-02   2.18671821E-02   1.08837135E-01   1.67932212E+00   1.68909012E+06   7.54270220E+00   1.67788827E+00   1.71525412E+06   7.59985828E+00   1.67801917E+00   1.71301850E+06   7.59497452E+00 
0 300 1.21385844E-08   4.92503432E-07   1.77734819E-07   1.68701533E-07   3.85741075E-08   7.23794857E-10   2.24872210E-07   9.74904251E+00   -8.99316967E-02   1.22994348E-01   1.09001480E-01   9.81506443E+00   -6.60735667E-02   1.19563475E-01   1.08277857E-01   9.76077652E+00   -2.40807366E-02   1.78897548E-02   1.08922012E-01   1.67938685E+00   1.68780862E+06   7.53990269E+00   1.67815316E+00   1.71069988E+06   7.58990955E+00   1.67818511E+00   1.71014338E+06   7.58869362E+00 
0 310 1.17709700E-08   4.69689212E-07   1.65615219E-07   1.60683555E-07   3.76750968E-08   7.21322613E-10   2.18356050E-07   9.75035667E+00   -9.15985256E-02   1.14626609E-01   1.08983576E-01   9.80689240E+00   -6.12614378E-02   1.16507284E-01   1.08366244E-01   9.75310707E+00   -2.20275037E-02   1.31622637E-02   1.09003715E-01   1.67944264E+00   1.68669488E+06   7.53746939E+00   1.67839873E+00   1.70637638E+06   7.58046436E+00   1.67843378E+00   1.70575038E+06   7.57909679E+00 
0 320 1.12951106E-08   4.49972617E-07   1.57742988E-07   1.50679924E-07   3.66079647E-08   7.18383020E-10   2.12708528E-07   9.74433994E+00   -9.91747007E-02   1.10378526E-01   1.09044783E-01   9.79417133E+00   -6.65036961E-02   1.17449552E-01   1.08505592E-01   9.74641228E+00   -1.96729563E-02   1.18302573E-02   1.09074250E-01   1.67959738E+00   1.68356900E+06   7.53064108E+00   1.67861831E+00   1.70241875E+06   7.57181883E+00   1.67873704E+00   1.70024175E+06   7.56706285E+00 
0 330 1.03060795E-08   4.33801546E-07   1.50753095E-07   1.39487582E-07   3.37609158E-08   7.14465875E-10   2.06723016E-07   9.72913361E+00   -1.09181054E-01   1.13406405E-01   1.09207675E-01   9.78011227E+00   -7.63345882E-02   1.23400494E-01   1.08660221E-01   9.73980904E+00   -1.84274465E-02   1.63475070E-02   1.09144941E-01   1.67988253E+00   1.67764075E+06   7.51769018E+00   1.67883360E+00   1.69845012E+06   7.56314945E+00   1.67902815E+00   1.69478438E+06   7.55514145E+00 
0 340 9.35411482E-09   4.19208618E-07   1.41515244E-07   1.28785260E-07   3.08484900E-08   7.10208670E-10   2.00902548E-07   9.70807838E+00   -1.16690867E-01   1.22791439E-01   1.09437488E-01   9.76834774E+00   -8.37175846E-02   1.32387906E-01   1.08789831E-01   9.73154449E+00   -1.93965100E-02   2.58139279E-02   1.09237060E-01   1.68024182E+00   1.66982038E+06   7.50060654E+00   1.67907023E+00   1.69398025E+06   7.55338478E+00   1.67925143E+00   1.69047750E+06   7.54573250E+00 
0 350 9.22444521E-09   4.03599188E-07   1.32145047E-07   1.16733965E-07   3.05234060E-08   7.06092518E-10   1.95534597E-07   9.68751335E+00   -1.18144937E-01   1.34193197E-01   1.09664954E-01   9.76063156E+00   -8.39662999E-02   1.40895709E-01   1.08874984E-01   9.72120857E+00   -2.28944942E-02   3.61657254E-02   1.09355792E-01   1.68057799E+00   1.66209862E+06   7.48373795E+00   1.67932332E+00   1.68906612E+06   7.54264927E+00   1.67939198E+00   1.68770688E+06   7.53968000E+00 
0 360 9.37803790E-09   3.86770978E-07   1.26161538E-07   1.03075585E-07   3.10355368E-08   7.02543024E-10   1.90283160E-07   9.67308426E+00   -1.13622569E-01   1.42337471E-01   1.09826796E-01   9.75603390E+00   -7.65091330E-02   1.45865515E-01   1.08926043E-01   9.71057796E+00   -2.76495069E-02   4.25482504E-02   1.09480031E-01   1.68081594E+00   1.65635725E+06   7.47119570E+00   1.67955673E+00   1.68439638E+06   7.53244829E+00   1.67947841E+00   1.68597975E+06   7.53590727E+00 
0 370 8.88544793E-09   3.70439608E-07   1.22175479E-07   9.36365012E-08   2.92456193E-08   6.99726055E-10   1.84863723E-07   9.66677189E+00   -1.06781118E-01   1.43886045E-01   1.09899677E-01   9.75191116E+00   -6.43259585E-02   1.46217346E-01   1.08972251E-01   9.70226479E+00   -3.06908563E-02   4.22252566E-02   1.09578051E-01   1.68093622E+00   1.65335575E+06   7.46463871E+00   1.67973030E+00   1.68083338E+06   7.52466440E+00   1.67956293E+00   1.68427050E+06   7.53217316E+00 
