X_coord,Y_coord,Ref_Wind,Num_Turb,Sim_ID,Turbine,Wind_Direction,X_rotated,Y_rotated
1474.0,-3347.0,6.08033657,80,hornsrev_254_8,T27,-16,494.3415098935859,-3623.63235877981
1533.0,-3904.0,6.11104774,80,hornsrev_254_8,T28,-16,397.5259427638782,-4175.3177274106565
1680.0,0.0,5.80977154,80,hornsrev_254_8,T31,-16,1614.9196491763755,-463.0707577725586
1739.0,-558.0,5.83203602,80,hornsrev_254_8,T32,-16,1517.828444690851,-1015.7173880993436
1798.0,-1116.0,5.84591436,80,hornsrev_254_8,T33,-16,1420.7372402053263,-1568.3640184261285
1857.0,-1674.0,5.84153175,80,hornsrev_254_8,T34,-16,1323.6460357198016,-2121.0106487529133
1916.0,-2231.0,5.85088539,80,hornsrev_254_8,T35,-16,1226.830468590094,-2672.69601738376
1975.0,-2789.0,5.87937593,80,hornsrev_254_8,T36,-16,1129.739264104569,-3225.342647710545
2035.0,-3347.0,5.87715149,80,hornsrev_254_8,T37,-16,1033.6093213149827,-3778.264915393147
2094.0,-3904.0,6.10325575,80,hornsrev_254_8,T38,-16,936.793754185275,-4329.950284023993
2240.0,0.0,5.53593111,80,hornsrev_254_8,T41,-16,2153.2261989018343,-617.4276770300781
2299.0,-558.0,5.53771973,80,hornsrev_254_8,T42,-16,2056.1349944163094,-1170.0743073568628
2358.0,-1116.0,5.53838015,80,hornsrev_254_8,T43,-16,1959.043789930785,-1722.720937683648
2418.0,-1674.0,5.52792978,80,hornsrev_254_8,T44,-16,1862.9138471411984,-2275.6432053662497
2477.0,-2231.0,5.51284933,80,hornsrev_254_8,T45,-16,1766.0982800114907,-2827.328573997097
2536.0,-2789.0,5.5378809,80,hornsrev_254_8,T46,-16,1669.0070755259662,-3379.9752043238814
2595.0,-3347.0,5.52728748,80,hornsrev_254_8,T47,-16,1571.9158710404413,-3932.621834650666
2654.0,-3904.0,6.1016407,80,hornsrev_254_8,T48,-16,1475.1003039107338,-4484.307203281513
2800.0,0.0,5.52342319,80,hornsrev_254_8,T51,-16,2691.5327486272927,-771.7845962875977
2859.0,-558.0,5.52394772,80,hornsrev_254_8,T52,-16,2594.441544141768,-1324.4312266143825
2919.0,-1116.0,5.51260757,80,hornsrev_254_8,T53,-16,2498.3116013521817,-1877.3534942969843
2978.0,-1674.0,5.51278639,80,hornsrev_254_8,T54,-16,2401.2203968666568,-2430.0001246237694
3037.0,-2231.0,5.49542379,80,hornsrev_254_8,T55,-16,2304.404829736949,-2981.685493254616
3096.0,-2789.0,5.51977682,80,hornsrev_254_8,T56,-16,2207.3136252514246,-3534.332123581401
3156.0,-3347.0,5.50201941,80,hornsrev_254_8,T57,-16,2111.183682461838,-4087.254391264003
3215.0,-3904.0,6.08644533,80,hornsrev_254_8,T58,-16,2014.3681153321304,-4638.939759894849
3360.0,0.0,5.49535179,80,hornsrev_254_8,T61,-16,3229.8392983527515,-926.1415155451172
3419.0,-558.0,5.49928951,80,hornsrev_254_8,T62,-16,3132.7480938672265,-1478.788145871902
3479.0,-1116.0,5.48727083,80,hornsrev_254_8,T63,-16,3036.6181510776405,-2031.710413554504
3538.0,-1674.0,5.49088955,80,hornsrev_254_8,T64,-16,2939.526946592116,-2584.3570438812885
3597.0,-2231.0,5.47711706,80,hornsrev_254_8,T65,-16,2842.711379462408,-3136.042412512136
3657.0,-2789.0,5.49154329,80,hornsrev_254_8,T66,-16,2746.5814366728214,-3688.9646801947374
3716.0,-3347.0,5.50033331,80,hornsrev_254_8,T67,-16,2649.490232187297,-4241.611310521523
3775.0,-3904.0,6.08570528,80,hornsrev_254_8,T68,-16,2552.6746650575888,-4793.296679152369
3920.0,0.0,5.24273682,80,hornsrev_254_8,T71,-16,3768.1458480782094,-1080.498434802637
3979.0,-558.0,5.25007963,80,hornsrev_254_8,T72,-16,3671.054643592685,-1633.1450651294217
4039.0,-1116.0,5.24355412,80,hornsrev_254_8,T73,-16,3574.924700803099,-2186.067332812024
4098.0,-1674.0,5.2483387,80,hornsrev_254_8,T74,-16,3477.833496317574,-2738.713963138808
4158.0,-2231.0,5.24129009,80,hornsrev_254_8,T75,-16,3381.979190883805,-3290.674969125472
4217.0,-2789.0,5.25450945,80,hornsrev_254_8,T76,-16,3284.88798639828,-3843.321599452257
4276.0,-3347.0,5.50109386,80,hornsrev_254_8,T77,-16,3187.796781912756,-4395.968229779042
4336.0,-3904.0,6.08422852,80,hornsrev_254_8,T78,-16,3091.9424764789856,-4947.929235765705
