,Fingerprint(G2),Fingerprint(G4),Fingerprint(G6),Ref_Wind_Speed
1179,1.0,1.0,1.0,7.4604702
1180,1.0,1.0,1.0,7.48571348
1181,1.0,1.0,1.0,7.45873117
1182,1.0,1.0,1.0,7.50581408
1183,1.0,1.0,1.0,7.47042561
1184,1.0,1.0,1.0,7.52361345
1185,1.0,1.0,1.0,7.46862125
1186,1.0,1.0,1.0,7.52674675
1187,1.0,1.0,1.0,7.46796179
1188,1.0,1.0,1.0,7.53581238
1189,1.0,1.0,1.0,7.48313475
1190,1.0,1.0,1.0,7.55529499
1191,1.0,1.0,1.0,7.49386311
1192,1.0,1.0,1.0,7.55289221
1193,1.0,1.0,1.0,7.49355888
1194,1.0,1.0,1.0,7.55163527
1195,1.0,1.0,1.0,7.49279356
1196,1.0,1.0,1.0,7.56625128
1197,1.0,1.0,1.0,7.49564075
1198,1.0,1.0,1.0,7.56941128
1199,1.0,1.0,1.0,7.50099802
1200,1.0,1.0,1.0,7.57178211
1201,1.0,1.0,1.0,7.52118015
1202,1.0,1.0,1.0,7.56287241
1203,1.0,1.0,1.0,7.50969458
1204,1.0,1.0,1.0,7.56061697
1205,1.0,1.0,1.0,7.51781893
1206,1.0,1.0,1.0,7.55410624
1207,1.0,1.0,1.0,7.49304247
1208,1.0,1.0,1.0,7.57284451
1209,1.0,1.0,1.0,7.49863148
1210,1.0,1.0,1.0,7.56386948
1211,1.0,1.0,1.0,7.50720739
1212,1.0,1.0,1.0,7.53660727
1213,1.0,1.0,1.0,7.48997736
1214,1.0,1.0,1.0,7.53616619
1215,1.0,1.0,1.0,7.49036741
1216,1.0,1.0,1.0,7.52922964
1217,1.0,1.0,1.0,7.48661184
1218,1.0,1.0,1.0,7.5277791
1219,1.0,1.0,1.0,7.48426533
1220,1.0,1.0,1.0,7.51185465
1221,1.0,1.0,1.0,7.48404837
1222,1.0,1.0,1.0,7.50910616
1223,1.0,1.0,1.0,7.47953606
1224,1.0,1.0,1.0,7.50284719
