RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 210 7.06259051E-09   3.06845806E-07   2.19593886E-07   2.14268226E-07   1.96210035E-08   2.13331436E-10   1.22608199E-07   5.86804104E+00   -8.93424749E-02   -5.96221834E-02   1.08700201E-01   5.79463625E+00   -2.50044446E-02   2.73012947E-02   1.10016592E-01   5.86885643E+00   -1.38757313E-02   -7.01413723E-03   1.08728491E-01   1.02791584E+00   3.32513906E+05   4.44303036E+00   1.03522503E+00   3.38327219E+05   4.46919537E+00   1.03555691E+00   3.38590844E+05   4.47038174E+00 
0 220 6.41369224E-09   2.83558450E-07   2.05565385E-07   2.00784882E-07   1.75532637E-08   2.08630890E-10   1.19714102E-07   5.84986353E+00   -8.98311064E-02   -5.12247309E-02   1.09024279E-01   5.77556276E+00   -2.06493102E-02   3.80680449E-02   1.10379443E-01   5.85251570E+00   -1.77605003E-02   8.33144819E-04   1.09015040E-01   1.02492905E+00   3.30135094E+05   4.43232346E+00   1.03233051E+00   3.36026438E+05   4.45883942E+00   1.03153956E+00   3.35397438E+05   4.45600843E+00 
0 230 5.67394043E-09   2.64401478E-07   1.91958705E-07   1.87936052E-07   1.56145070E-08   2.03278228E-10   1.14742420E-07   5.83155918E+00   -9.00638029E-02   -4.32097316E-02   1.09358981E-01   5.75358629E+00   -1.51246106E-02   4.46432829E-02   1.10807873E-01   5.83476448E+00   -2.30634399E-02   8.12022015E-03   1.09334022E-01   1.02175879E+00   3.27607969E+05   4.42094898E+00   1.02906406E+00   3.33427969E+05   4.44714451E+00   1.02700317E+00   3.31787250E+05   4.43975973E+00 
0 240 5.00394082E-09   2.45588836E-07   1.78918640E-07   1.75742855E-07   1.41315324E-08   1.98372929E-10   1.08469102E-07   5.81675529E+00   -9.01717916E-02   -3.76529098E-02   1.09635554E-01   5.73543358E+00   -9.60599817E-03   4.48542498E-02   1.11168049E-01   5.81953287E+00   -2.64809802E-02   1.24666123E-02   1.09614298E-01   1.01925433E+00   3.25610000E+05   4.41195631E+00   1.02633238E+00   3.31253031E+05   4.43735504E+00   1.02344215E+00   3.28950125E+05   4.42699003E+00 
0 250 4.41774750E-09   2.26783001E-07   1.65815095E-07   1.64346602E-07   1.26325501E-08   1.95097480E-10   1.02567462E-07   5.80689383E+00   -9.03226510E-02   -3.46176475E-02   1.09825060E-01   5.72522926E+00   -5.80836413E-03   4.07046042E-02   1.11372836E-01   5.80933046E+00   -2.66666189E-02   1.40846213E-02   1.09808363E-01   1.01780391E+00   3.24452281E+05   4.40674543E+00   1.02473247E+00   3.29978500E+05   4.43161869E+00   1.02162683E+00   3.27502750E+05   4.42047548E+00 
0 260 4.10162393E-09   2.09811915E-07   1.52167829E-07   1.53008742E-07   1.17680639E-08   1.93599775E-10   9.78623902E-08   5.80144262E+00   -9.05612707E-02   -3.28463428E-02   1.09935947E-01   5.72173786E+00   -3.87754152E-03   3.66629772E-02   1.11442529E-01   5.80461216E+00   -2.44396869E-02   1.47067606E-02   1.09905005E-01   1.01723993E+00   3.24002031E+05   4.40471888E+00   1.02429187E+00   3.29627406E+05   4.43003845E+00   1.02110064E+00   3.27083062E+05   4.41858673E+00 
0 270 3.99517397E-09   1.96136995E-07   1.39179392E-07   1.41385939E-07   1.15658620E-08   1.93235011E-10   9.43461202E-08   5.79833269E+00   -9.07307267E-02   -3.07482798E-02   1.10005543E-01   5.71956778E+00   -1.90170750E-03   3.66789401E-02   1.11483596E-01   5.80345201E+00   -2.15900149E-02   1.60483792E-02   1.09937258E-01   1.01705194E+00   3.23851969E+05   4.40404367E+00   1.02449322E+00   3.29787844E+05   4.43076038E+00   1.02060926E+00   3.26691156E+05   4.41682243E+00 
0 280 3.80656795E-09   1.85786689E-07   1.28103807E-07   1.29918149E-07   1.10858256E-08   1.93320970E-10   9.15112679E-08   5.79519272E+00   -9.07315761E-02   -2.75400933E-02   1.10076606E-01   5.71324492E+00   2.24701595E-03   4.15811241E-02   1.11606508E-01   5.80247307E+00   -1.96261443E-02   1.86303649E-02   1.09966211E-01   1.01674020E+00   3.23603031E+05   4.40292311E+00   1.02457762E+00   3.29855062E+05   4.43106318E+00   1.01904929E+00   3.25446375E+05   4.41122007E+00 
0 290 3.51609297E-09   1.77524797E-07   1.18336779E-07   1.18488131E-07   1.03372235E-08   1.93294977E-10   8.85276350E-08   5.79063892E+00   -9.06446427E-02   -2.38288883E-02   1.10173576E-01   5.70084333E+00   9.38915461E-03   4.87962663E-02   1.11852549E-01   5.79873514E+00   -1.91634540E-02   2.15766635E-02   1.10045902E-01   1.01607883E+00   3.23074781E+05   4.40054560E+00   1.02396894E+00   3.29370000E+05   4.42887974E+00   1.01616442E+00   3.23143125E+05   4.40085316E+00 
0 300 3.28355121E-09   1.69254506E-07   1.08785798E-07   1.07370617E-07   9.87876803E-09   1.92951613E-10   8.49976729E-08   5.78479576E+00   -9.05423239E-02   -2.10490264E-02   1.10293180E-01   5.68459845E+00   1.88318696E-02   5.44125140E-02   1.12180293E-01   5.79134083E+00   -1.98229924E-02   2.34333649E-02   1.10193126E-01   1.01514530E+00   3.22329062E+05   4.39718914E+00   1.02256536E+00   3.28251125E+05   4.42384386E+00   1.01257789E+00   3.20277031E+05   4.38795328E+00 
