RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 280 1.32514621E-09   1.09147159E-07   4.81282925E-08   2.49272158E-08   3.91640853E-09   3.37085859E-10   9.64972173E-08   8.32730770E+00   -3.60285997E+00   -3.12332302E-01   1.17653601E-01   8.19692707E+00   -3.57468081E+00   -3.66809309E-01   1.19736172E-01   1.68046260E+00   1.66479738E+06   7.48963356E+00   1.68068087E+00   1.65964525E+06   7.47837830E+00 
0 290 1.25370625E-09   1.04558055E-07   4.58234020E-08   2.30147492E-08   3.60623353E-09   3.28886279E-10   8.95154386E-08   8.33446980E+00   -3.59720254E+00   -3.10709000E-01   1.17599614E-01   8.19190693E+00   -3.57259226E+00   -3.65420014E-01   1.19816013E-01   1.68036032E+00   1.66714688E+06   7.49476624E+00   1.68076992E+00   1.65748562E+06   7.47366047E+00 
0 300 1.16319654E-09   1.00315233E-07   4.36709620E-08   2.13144951E-08   3.20466298E-09   3.21745658E-10   8.30504590E-08   8.33593082E+00   -3.59448576E+00   -3.06801975E-01   1.17600158E-01   8.18713570E+00   -3.57044840E+00   -3.64055574E-01   1.19893998E-01   1.68030787E+00   1.66833612E+06   7.49736404E+00   1.68085682E+00   1.65534500E+06   7.46898413E+00 
0 310 1.10302267E-09   9.63824363E-08   4.16179660E-08   1.97558343E-08   2.93000491E-09   3.15596993E-10   7.69827082E-08   8.33272171E+00   -3.59416938E+00   -3.01425427E-01   1.17645837E-01   8.18282032E+00   -3.56837273E+00   -3.62906426E-01   1.19966611E-01   1.68029833E+00   1.66855275E+06   7.49783707E+00   1.68093598E+00   1.65335962E+06   7.46464729E+00 
0 320 1.08705789E-09   9.27003967E-08   3.96562676E-08   1.83259417E-08   2.81933499E-09   3.10303755E-10   7.12359807E-08   8.32610989E+00   -3.59577346E+00   -2.95430720E-01   1.17723741E-01   8.17898846E+00   -3.56653690E+00   -3.62077355E-01   1.20032288E-01   1.68031919E+00   1.66808125E+06   7.49680710E+00   1.68100512E+00   1.65160475E+06   7.46081352E+00 
0 330 1.08426745E-09   8.92098555E-08   3.78270641E-08   1.70409820E-08   2.71613665E-09   3.05763914E-10   6.58898358E-08   8.31736374E+00   -3.59879112E+00   -2.89249808E-01   1.17820904E-01   8.17550755E+00   -3.56504393E+00   -3.61507356E-01   1.20091975E-01   1.68035793E+00   1.66720238E+06   7.49488735E+00   1.68106496E+00   1.65006300E+06   7.45744562E+00 
0 340 1.08640275E-09   8.58480931E-08   3.61784807E-08   1.59228684E-08   2.60480304E-09   3.01878661E-10   6.09989073E-08   8.30750656E+00   -3.60261822E+00   -2.82942951E-01   1.17927842E-01   8.17223454E+00   -3.56388235E+00   -3.61056268E-01   1.20147541E-01   1.68040633E+00   1.66609438E+06   7.49246693E+00   1.68111813E+00   1.64867550E+06   7.45441484E+00 
0 350 1.10578646E-09   8.25692581E-08   3.46961997E-08   1.49788928E-08   2.58549893E-09   2.98501668E-10   5.65566829E-08   8.29722309E+00   -3.60660458E+00   -2.76502967E-01   1.18039548E-01   8.16912746E+00   -3.56296062E+00   -3.60593796E-01   1.20200150E-01   1.68046212E+00   1.66480975E+06   7.48966074E+00   1.68116653E+00   1.64740250E+06   7.45163345E+00 
0 360 1.13455201E-09   7.93791912E-08   3.33580310E-08   1.41934198E-08   2.64612221E-09   2.95506758E-10   5.25388764E-08   8.28694820E+00   -3.61012840E+00   -2.70072490E-01   1.18153974E-01   8.16624069E+00   -3.56218266E+00   -3.60078961E-01   1.20249748E-01   1.68052590E+00   1.66332238E+06   7.48641109E+00   1.68121004E+00   1.64624262E+06   7.44910002E+00 
0 370 1.14628540E-09   7.63259678E-08   3.21443174E-08   1.35099594E-08   2.65739608E-09   2.92830316E-10   4.89856902E-08   8.27697182E+00   -3.61268973E+00   -2.63996184E-01   1.18270263E-01   8.16365433E+00   -3.56148219E+00   -3.59574169E-01   1.20295636E-01   1.68059909E+00   1.66159800E+06   7.48264408E+00   1.68124855E+00   1.64521100E+06   7.44684649E+00 
0 380 1.12538645E-09   7.34688257E-08   3.10259409E-08   1.28494024E-08   2.54460653E-09   2.90439839E-10   4.59124827E-08   8.26754093E+00   -3.61398792E+00   -2.58736134E-01   1.18386991E-01   8.16137600E+00   -3.56081247E+00   -3.59189123E-01   1.20337725E-01   1.68068087E+00   1.65964612E+06   7.47838020E+00   1.68128204E+00   1.64430312E+06   7.44486284E+00 
0 390 1.08089071E-09   7.08335293E-08   2.99715985E-08   1.21731611E-08   2.36199904E-09   2.88282537E-10   4.32575291E-08   8.25886917E+00   -3.61393714E+00   -2.54644424E-01   1.18501939E-01   8.15932655E+00   -3.56013942E+00   -3.58988047E-01   1.20376877E-01   1.68076801E+00   1.65753288E+06   7.47376394E+00   1.68131208E+00   1.64348212E+06   7.44306946E+00 
0 400 1.03135434E-09   6.84006665E-08   2.89582172E-08   1.14971552E-08   2.21564789E-09   2.86299290E-10   4.09461833E-08   8.25114441E+00   -3.61268592E+00   -2.51860619E-01   1.18611969E-01   8.15739250E+00   -3.55945182E+00   -3.58918756E-01   1.20414346E-01   1.68085563E+00   1.65537475E+06   7.46904945E+00   1.68134069E+00   1.64269938E+06   7.44135952E+00 
