RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 250 5.68810954E-09   3.12489902E-07   3.03199279E-08   1.74082153E-08   1.63874834E-08   1.84618354E-09   4.73219501E-07   1.93037434E+01   1.36952960E+00   1.05849154E-01   1.09641768E-01   1.96389084E+01   1.36761296E+00   1.01834103E-01   1.07785448E-01   1.67670333E+00   2.30000000E+06   1.88833447E+01   1.67620707E+00   2.30000000E+06   1.91623611E+01 
0 260 5.30355582E-09   2.91936544E-07   2.86554691E-08   1.60062061E-08   1.58069504E-08   1.80050186E-09   4.35484083E-07   1.92832909E+01   1.36768234E+00   1.08698882E-01   1.09765299E-01   1.96394348E+01   1.36829436E+00   1.01806499E-01   1.07785903E-01   1.67670977E+00   2.30000000E+06   1.88663902E+01   1.67620707E+00   2.30000000E+06   1.91623421E+01 
0 270 4.67493466E-09   2.72694081E-07   2.73087188E-08   1.51887605E-08   1.39011869E-08   1.75762216E-09   4.00158342E-07   1.92649002E+01   1.36603165E+00   1.11215331E-01   1.09877087E-01   1.96389866E+01   1.36911988E+00   1.02690041E-01   1.07791409E-01   1.67671323E+00   2.30000000E+06   1.88512325E+01   1.67620933E+00   2.30000000E+06   1.91616058E+01 
0 280 4.27865876E-09   2.54714479E-07   2.61115467E-08   1.45805279E-08   1.25944606E-08   1.71771486E-09   3.67608436E-07   1.92483215E+01   1.36453581E+00   1.13851577E-01   1.09978400E-01   1.96379375E+01   1.36986804E+00   1.03450157E-01   1.07800424E-01   1.67671442E+00   2.30000000E+06   1.88376408E+01   1.67621303E+00   2.30000000E+06   1.91604080E+01 
0 290 4.26312496E-09   2.37909347E-07   2.51837893E-08   1.44420911E-08   1.20198793E-08   1.67983949E-09   3.37482192E-07   1.92331028E+01   1.36308825E+00   1.17011309E-01   1.10071965E-01   1.96370182E+01   1.37048006E+00   1.03572607E-01   1.07809059E-01   1.67671406E+00   2.30000000E+06   1.88251762E+01   1.67621636E+00   2.30000000E+06   1.91593418E+01 
0 300 4.36828751E-09   2.22224770E-07   2.45087328E-08   1.44777976E-08   1.08732792E-08   1.64288416E-09   3.09125284E-07   1.92188892E+01   1.36164618E+00   1.20609596E-01   1.10160135E-01   1.96367207E+01   1.37105978E+00   1.03208818E-01   1.07814334E-01   1.67671239E+00   2.30000000E+06   1.88134804E+01   1.67621779E+00   2.30000000E+06   1.91588535E+01 
0 310 4.55888038E-09   2.07558045E-07   2.36150850E-08   1.39072522E-08   9.39967837E-09   1.60659286E-09   2.82432126E-07   1.92056694E+01   1.36032069E+00   1.24127612E-01   1.10243231E-01   1.96370735E+01   1.37176859E+00   1.02721512E-01   1.07815780E-01   1.67670953E+00   2.30000000E+06   1.88025379E+01   1.67621732E+00   2.30000000E+06   1.91590080E+01 
0 320 4.86392659E-09   1.93756577E-07   2.22103527E-08   1.25812809E-08   8.71865335E-09   1.57101654E-09   2.57498868E-07   1.91937790E+01   1.35930359E+00   1.26954898E-01   1.10319287E-01   1.96377449E+01   1.37268579E+00   1.02394104E-01   1.07814990E-01   1.67670608E+00   2.30000000E+06   1.87926826E+01   1.67621565E+00   2.30000000E+06   1.91595516E+01 
0 330 5.11563503E-09   1.80754554E-07   2.05556923E-08   1.11519771E-08   8.45079384E-09   1.53612434E-09   2.34285082E-07   1.91836472E+01   1.35869503E+00   1.28775537E-01   1.10385604E-01   1.96383419E+01   1.37374306E+00   1.02418266E-01   1.07814126E-01   1.67670250E+00   2.30000000E+06   1.87843380E+01   1.67621386E+00   2.30000000E+06   1.91601334E+01 
0 340 5.22646415E-09   1.68575284E-07   1.91011260E-08   1.01729638E-08   7.76987541E-09   1.50186141E-09   2.12764888E-07   1.91754379E+01   1.35843015E+00   1.29792690E-01   1.10440843E-01   1.96385784E+01   1.37478137E+00   1.02859743E-01   1.07814878E-01   1.67669916E+00   2.30000000E+06   1.87776833E+01   1.67621291E+00   2.30000000E+06   1.91604710E+01 
0 350 5.30920952E-09   1.57227859E-07   1.80158271E-08   9.57353663E-09   6.96427405E-09   1.46816015E-09   1.92946146E-07   1.91689262E+01   1.35833180E+00   1.30543545E-01   1.10486113E-01   1.96383533E+01   1.37565482E+00   1.03585124E-01   1.07817978E-01   1.67669618E+00   2.30000000E+06   1.87725143E+01   1.67621303E+00   2.30000000E+06   1.91604366E+01 
0 360 5.45967493E-09   1.46665585E-07   1.72231562E-08   9.10645159E-09   6.61817623E-09   1.43470524E-09   1.74710607E-07   1.91636162E+01   1.35822773E+00   1.31472200E-01   1.10524282E-01   1.96377640E+01   1.37630093E+00   1.04296573E-01   1.07822984E-01   1.67669368E+00   2.30000000E+06   1.87683773E+01   1.67621398E+00   2.30000000E+06   1.91600895E+01 
0 370 5.63034686E-09   1.36827424E-07   1.65754521E-08   8.59753069E-09   6.69393430E-09   1.40127387E-09   1.57922941E-07   1.91590290E+01   1.35804296E+00   1.32613406E-01   1.10558227E-01   1.96370811E+01   1.37674785E+00   1.04709119E-01   1.07828453E-01   1.67669141E+00   2.30000000E+06   1.87648277E+01   1.67621541E+00   2.30000000E+06   1.91596584E+01 
0 380 5.71297587E-09   1.27665871E-07   1.59229092E-08   8.04454370E-09   6.77534517E-09   1.36791134E-09   1.42527256E-07   1.91549301E+01   1.35781705E+00   1.33694276E-01   1.10589407E-01   1.96365891E+01   1.37708032E+00   1.04699634E-01   1.07832760E-01   1.67668927E+00   2.30000000E+06   1.87616577E+01   1.67621613E+00   2.30000000E+06   1.91594028E+01 
0 390 5.63654678E-09   1.19136217E-07   1.52067834E-08   7.61987362E-09   6.52315935E-09   1.33460087E-09   1.28551463E-07   1.91513119E+01   1.35764694E+00   1.34455696E-01   1.10617869E-01   1.96364212E+01   1.37738299E+00   1.04343466E-01   1.07835054E-01   1.67668724E+00   2.30000000E+06   1.87588692E+01   1.67621601E+00   2.30000000E+06   1.91594582E+01 
0 400 5.40829204E-09   1.11194652E-07   1.44880845E-08   7.35828776E-09   5.86728044E-09   1.30158617E-09   1.16064577E-07   1.91482468E+01   1.35761404E+00   1.34851366E-01   1.10643081E-01   1.96365089E+01   1.37770724E+00   1.03836693E-01   1.07835650E-01   1.67668557E+00   2.30000000E+06   1.87565556E+01   1.67621493E+00   2.30000000E+06   1.91597767E+01 
0 410 5.10323073E-09   1.03798747E-07   1.38335441E-08   7.12301684E-09   5.04248998E-09   1.26906752E-09   1.05101051E-07   1.91457672E+01   1.35773277E+00   1.35014862E-01   1.10664733E-01   1.96366463E+01   1.37806189E+00   1.03376523E-01   1.07835673E-01   1.67668426E+00   2.30000000E+06   1.87547665E+01   1.67621374E+00   2.30000000E+06   1.91601830E+01 
0 420 4.81061990E-09   9.69194218E-08   1.32416345E-08   6.81047663E-09   4.41126202E-09   1.23706956E-09   9.56443671E-08   1.91438465E+01   1.35796010E+00   1.35130107E-01   1.10682935E-01   1.96366348E+01   1.37842619E+00   1.03063829E-01   1.07836246E-01   1.67668331E+00   2.30000000E+06   1.87534828E+01   1.67621279E+00   2.30000000E+06   1.91604919E+01 
0 430 4.57994975E-09   9.05273225E-08   1.26711379E-08   6.41600950E-09   4.15224877E-09   1.20560295E-09   8.75753727E-08   1.91424141E+01   1.35822809E+00   1.35339379E-01   1.10698149E-01   1.96363926E+01   1.37876618E+00   1.02877185E-01   1.07837901E-01   1.67668259E+00   2.30000000E+06   1.87526512E+01   1.67621243E+00   2.30000000E+06   1.91606178E+01 
