RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   probe3@MHH@63.3_V_x   probe3@MHH@63.3_V_y   probe3@MHH@63.3_V_z   probe3@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T003_omega   T003_power   T003_uref   T002_omega   T002_power   T002_uref 
0 200 2.14632028E-08   8.47708066E-07   4.29720075E-07   4.38284673E-07   6.04020158E-08   9.07183328E-10   3.02656701E-07   9.87278175E+00   -6.78177401E-02   7.64855444E-02   1.07840091E-01   9.84934235E+00   -2.46502347E-02   5.02647012E-02   1.08139001E-01   9.78610706E+00   -2.86862142E-02   -3.71747613E-02   1.08795762E-01   1.67805696E+00   1.71236800E+06   7.59355354E+00   1.67798269E+00   1.71364388E+06   7.59634066E+00   1.67837274E+00   1.70683788E+06   7.58147287E+00 
0 210 2.13783178E-08   7.70810800E-07   4.02567508E-07   4.05452028E-07   6.10087056E-08   8.96039465E-10   2.95132196E-07   9.85978317E+00   -6.53304160E-02   7.49311820E-02   1.07962564E-01   9.84081459E+00   -2.49185413E-02   5.37410341E-02   1.08225517E-01   9.76863766E+00   -1.57740172E-02   -3.65147032E-02   1.08989306E-01   1.67844439E+00   1.70556000E+06   7.57868099E+00   1.67852950E+00   1.70403038E+06   7.57533932E+00   1.67872250E+00   1.70050975E+06   7.56764889E+00 
0 220 1.99290575E-08   7.05532955E-07   3.76722710E-07   3.77025572E-07   5.60504176E-08   8.81255124E-10   2.85819510E-07   9.83474827E+00   -6.44620284E-02   8.24322775E-02   1.08217783E-01   9.82103634E+00   -2.60184407E-02   6.50962144E-02   1.08427972E-01   9.74204350E+00   1.14009861E-04   -3.06955967E-02   1.09280609E-01   1.67896962E+00   1.69589550E+06   7.55756855E+00   1.67912924E+00   1.69284775E+06   7.55091047E+00   1.67917919E+00   1.69188175E+06   7.54880047E+00 
0 230 1.81354523E-08   6.51536709E-07   3.50822432E-07   3.48758988E-07   5.03750570E-08   8.64199212E-10   2.73735225E-07   9.80432415E+00   -6.51917383E-02   9.50858966E-02   1.08538009E-01   9.79661369E+00   -2.68314350E-02   7.77458698E-02   1.08681642E-01   9.71394825E+00   1.31492326E-02   -2.40484234E-02   1.09588914E-01   1.67953277E+00   1.68488312E+06   7.53351164E+00   1.67967796E+00   1.68191625E+06   7.52703047E+00   1.67965543E+00   1.68238025E+06   7.52804422E+00 
0 240 1.67726757E-08   6.03833371E-07   3.25460491E-07   3.19660757E-07   4.72334278E-08   8.48132342E-10   2.60245145E-07   9.77689362E+00   -6.65700585E-02   1.06876045E-01   1.08833209E-01   9.77501869E+00   -2.67284848E-02   8.60318244E-02   1.08908683E-01   9.69124985E+00   1.97946224E-02   -2.02887468E-02   1.09837182E-01   1.68001127E+00   1.67488650E+06   7.51167345E+00   1.68010247E+00   1.67290188E+06   7.50733805E+00   1.68005455E+00   1.67394838E+06   7.50962400E+00 
0 250 1.54740327E-08   5.61102979E-07   3.01514490E-07   2.91854917E-07   4.42572308E-08   8.35993552E-10   2.47593334E-07   9.75803661E+00   -6.78100958E-02   1.13689765E-01   1.09041028E-01   9.76075745E+00   -2.57279109E-02   8.86661857E-02   1.09060414E-01   9.67575550E+00   2.09457893E-02   -1.99160594E-02   1.10004418E-01   1.68033814E+00   1.66765112E+06   7.49586773E+00   1.68040717E+00   1.66607638E+06   7.49242735E+00   1.68032968E+00   1.66784412E+06   7.49628925E+00 
0 260 1.41230032E-08   5.24200345E-07   2.79638357E-07   2.66854556E-07   4.04611562E-08   8.28268676E-10   2.36937780E-07   9.74794769E+00   -6.82538524E-02   1.15129970E-01   1.09157003E-01   9.75361919E+00   -2.45616939E-02   8.85438770E-02   1.09138384E-01   9.66421509E+00   2.12517399E-02   -2.03958582E-02   1.10128291E-01   1.68052340E+00   1.66338250E+06   7.48654270E+00   1.68065190E+00   1.66034162E+06   7.47989988E+00   1.68049586E+00   1.66402638E+06   7.48794937E+00 
0 270 1.29426390E-08   4.93315838E-07   2.60501679E-07   2.44119889E-07   3.70076343E-08   8.23483004E-10   2.27768908E-07   9.74263859E+00   -6.76931739E-02   1.13797553E-01   1.09222636E-01   9.74994469E+00   -2.40800865E-02   8.98266882E-02   1.09181687E-01   9.65196514E+00   2.57696342E-02   -1.85650140E-02   1.10263646E-01   1.68062997E+00   1.66086412E+06   7.48104095E+00   1.68090045E+00   1.65425600E+06   7.46660566E+00   1.68060553E+00   1.66144725E+06   7.48231506E+00 
0 280 1.19408625E-08   4.67296104E-07   2.42927939E-07   2.22527930E-07   3.42850974E-08   8.20052637E-10   2.19358625E-07   9.73710537E+00   -6.66398555E-02   1.13075256E-01   1.09291032E-01   9.74564648E+00   -2.47440860E-02   9.46447626E-02   1.09234147E-01   9.63662720E+00   3.68080549E-02   -1.31637119E-02   1.10438883E-01   1.68073249E+00   1.65839888E+06   7.47565556E+00   1.68117666E+00   1.64713338E+06   7.45104551E+00   1.68071151E+00   1.65890800E+06   7.47676754E+00 
0 290 1.10920242E-08   4.44144746E-07   2.24430778E-07   2.01772011E-07   3.22576597E-08   8.16841650E-10   2.10792393E-07   9.72818661E+00   -6.56994358E-02   1.14870757E-01   1.09395608E-01   9.73860168E+00   -2.62586419E-02   1.01696000E-01   1.09317988E-01   9.61918068E+00   5.26916459E-02   -5.72120864E-03   1.10642597E-01   1.68087673E+00   1.65484800E+06   7.46789885E+00   1.68145669E+00   1.63945688E+06   7.43427610E+00   1.68083882E+00   1.65579050E+06   7.46995783E+00 
