RealTimeStep Cycle rho   rhoV[0]   rhoV[1]   rhoV[2]   rhoE   rhok   rhoOmega   probe1@MHH@63.3_V_x   probe1@MHH@63.3_V_y   probe1@MHH@63.3_V_z   probe1@MHH@63.3_ti   probe2@MHH@63.3_V_x   probe2@MHH@63.3_V_y   probe2@MHH@63.3_V_z   probe2@MHH@63.3_ti   T001_omega   T001_power   T001_uref   T002_omega   T002_power   T002_uref 
0 250 1.78048210E-09   1.38918750E-07   5.89299809E-08   1.94653307E-08   5.45656542E-09   4.83588558E-10   1.76669872E-07   1.03621893E+01   -4.08209085E+00   -3.25597376E-01   1.15182452E-01   1.04657993E+01   -4.06210136E+00   -3.34142536E-01   1.14352852E-01   1.68394899E+00   2.18567625E+06   1.00335646E+01   1.68061173E+00   2.20530925E+06   1.02306662E+01 
0 260 1.76126913E-09   1.31976705E-07   5.54534765E-08   1.83000957E-08   5.60078206E-09   4.71225226E-10   1.63315775E-07   1.03801308E+01   -4.06956625E+00   -3.27335566E-01   1.15064941E-01   1.04614820E+01   -4.06075907E+00   -3.34236324E-01   1.14407405E-01   1.68383169E+00   2.18653950E+06   1.00422325E+01   1.68074381E+00   2.20466400E+06   1.02241869E+01 
0 270 1.72259562E-09   1.25435150E-07   5.23154000E-08   1.73372374E-08   5.50595169E-09   4.59975197E-10   1.50925089E-07   1.03960800E+01   -4.06014585E+00   -3.28058213E-01   1.14953414E-01   1.04575844E+01   -4.05972528E+00   -3.33519757E-01   1.14456430E-01   1.68370461E+00   2.18745400E+06   1.00514126E+01   1.68085861E+00   2.20409650E+06   1.02184906E+01 
0 280 1.68959158E-09   1.19172952E-07   4.94836598E-08   1.64369993E-08   5.27062527E-09   4.49906945E-10   1.39657075E-07   1.04090786E+01   -4.05365562E+00   -3.27109724E-01   1.14858203E-01   1.04537048E+01   -4.05869389E+00   -3.32377136E-01   1.14505246E-01   1.68358243E+00   2.18831250E+06   1.00600309E+01   1.68096805E+00   2.20355025E+06   1.02130060E+01 
0 290 1.62275515E-09   1.13216892E-07   4.68622261E-08   1.56480500E-08   4.79956164E-09   4.40828873E-10   1.29418595E-07   1.04184446E+01   -4.04964924E+00   -3.24257493E-01   1.14788070E-01   1.04497385E+01   -4.05747271E+00   -3.31310570E-01   1.14555679E-01   1.68348050E+00   2.18901500E+06   1.00670834E+01   1.68107700E+00   2.20300025E+06   1.02074852E+01 
0 300 1.52499458E-09   1.07635529E-07   4.43823680E-08   1.49271280E-08   4.16151380E-09   4.32451797E-10   1.19979845E-07   1.04240694E+01   -4.04768085E+00   -3.19899708E-01   1.14746250E-01   1.04458323E+01   -4.05608606E+00   -3.30679864E-01   1.14606068E-01   1.68340766E+00   2.18950975E+06   1.00720501E+01   1.68118322E+00   2.20245950E+06   1.02020569E+01 
0 310 1.46818269E-09   1.02440623E-07   4.19936335E-08   1.41500980E-08   3.69430886E-09   4.24544649E-10   1.11135549E-07   1.04264555E+01   -4.04741430E+00   -3.14842314E-01   1.14729449E-01   1.04422045E+01   -4.05472422E+00   -3.30568105E-01   1.14653394E-01   1.68336344E+00   2.18980725E+06   1.00750360E+01   1.68128097E+00   2.20195675E+06   1.01970081E+01 
0 320 1.46996271E-09   9.76045982E-08   3.96962498E-08   1.33336213E-08   3.49016060E-09   4.17047591E-10   1.02891846E-07   1.04264135E+01   -4.04857731E+00   -3.09775323E-01   1.14730902E-01   1.04389448E+01   -4.05358601E+00   -3.30782801E-01   1.14695907E-01   1.68334067E+00   2.18995900E+06   1.00765610E+01   1.68136716E+00   2.20150975E+06   1.01925220E+01 
0 330 1.48318768E-09   9.30837416E-08   3.75385447E-08   1.25795925E-08   3.32076167E-09   4.09979051E-10   9.53383221E-08   1.04247503E+01   -4.05086136E+00   -3.04980069E-01   1.14743859E-01   1.04359827E+01   -4.05275869E+00   -3.31023097E-01   1.14733964E-01   1.68333125E+00   2.19002200E+06   1.00771923E+01   1.68144262E+00   2.20111475E+06   1.01885548E+01 
0 340 1.49688606E-09   8.87996023E-08   3.55589016E-08   1.19334107E-08   3.15361026E-09   4.03309025E-10   8.84656473E-08   1.04220266E+01   -4.05383015E+00   -3.00407916E-01   1.14764422E-01   1.04331875E+01   -4.05219603E+00   -3.31067681E-01   1.14769146E-01   1.68333006E+00   2.19003000E+06   1.00772734E+01   1.68151116E+00   2.20075375E+06   1.01849308E+01 
